--  EBBR
-- RWY 01
SPI  |   |1|               |               |SPI4U  | EBCI | 24  | A040 |       | ABV_CTA_S1 EBTRASA EBTRASB | 24
SPI  |   |1|               |               |SPI8Y  | EBCI | 24  | A040 |       |        | 24
--
--  EBKT
-- RWY 24
MAK  |   |1|               |               |MAK1A  | EBKT | 24  | A030 |       |        | 24
MAK  |   |1|               |               |MAK1B  | EBKT | 24  | A030 |       |        | 24
-- RWY06
MAK  |   |1|               |               |MAK1C  | EBKT | 06  | A030 |       |        | 06
--
--  ELLX
-- RWY 06
-- conventional
DIK  |   |1|               |               |DIK5T  | ELLX | 06  | F050 |       |        | 06
-- RNAV
LNO  |   |1|               |               |LNO1P  | ELLX | 06  | F050 |       |        | 06
ARCKY|   |1|               |               |ARCKY1P| ELLX | 06  | F050 |       | EBTSA28C | 06
RAPOR|   |1|               |               |RAPOR1P| ELLX | 06  | F050 |       |        | 06
MMD  |   |1|               |               |MMD1P  | ELLX | 06  | F050 |       |        | 06
ASMOX|   |1|               |               |ASMOX1P| ELLX | 06  | F050 |       |        | 06
EXCOS|   |1|               |               |EXCOS1P| ELLX | 06  | F050 |       |        | 06
GTQ  |   |1|               |               |GTQ1P  | ELLX | 06  | F050 |       |        | 06
--
-- RWY 24
-- conventional
DIK  |   |1|               |               |DIK5X  | ELLX | 24  | F050 |       |        | 24
-- RNAV
LNO  |   |1|               |               |LNO1R  | ELLX | 24  | F050 |       |        | 24
ARCKY|   |1|               |               |ARCKY1R| ELLX | 24  | F050 |       | EBTSA28C | 24
RAPOR|   |1|               |               |RAPOR1R| ELLX | 24  | F050 |       |        | 24
MMD  |   |1|               |               |MMD1R  | ELLX | 24  | F050 |       |        | 24
ASMOX|   |1|               |               |ASMOX1R| ELLX | 24  | F050 |       |        | 24
EXCOS|   |1|               |               |EXCOS2R| ELLX | 24  | F050 |       |        | 24
GTQ  |   |1|               |               |GTQ2R  | ELLX | 24  | F050 |       |        | 24
